fecha,numero,despacho,expediente,enlace
2011-05-06,251-2011,"Tribunal Contencioso Administrativo, Sección VI",,
2011-07-28,883-2011,Sala Primera,09-002712-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-519560
2011-10-05,206-2011,"Tribunal Contencioso Administrativo, Sección VI",09-003286-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-524180
2011-11-17,251-2011,Tribunal Contencioso Administrativo,10-003218-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-527909
2011-12-12,270-2011,"Tribunal Contencioso Administrativo, Sección VI",11-003189-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-532385
2012-03-08,25-2012,"Tribunal Contencioso Administrativo, Sección VIII",,
2012-04-30,33-2012,"Tribunal Contencioso Administrativo, Sección VIII",10-000590-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-541433
2012-05-30,96-2012,"Tribunal Contencioso Administrativo, Sección VI",10-001774-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-564933
2012-08-24,1039-2012,Sala Primera,10-000711-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-547194
2012-08-24,1052-2012,Sala Primera,11-004339-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-549100
2012-08-24,1058-2012,Sala Primera,11-002237-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-549106
2012-08-24,1068-2012,Sala Primera,10-000946-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-549115
2012-09-07,180-2012,"Tribunal Contencioso Administrativo, Sección VI",11-004342-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-550309
2012-11-15,1519-2012,Sala Primera,11-000349-1028-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-553725
2013-04-10,35-2013,"Tribunal Contencioso Administrativo, Sección V",11-001303-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-568286
