fecha,resolucion,despacho,expediente,enlace
2005-08-17,590-2005,Sala Primera,00-000578-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-341952
2005-12-09,597-2005,"Tribunal Contencioso Administrativo, Sección II",03-000066-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-326964
2006-06-21,376-2006,Sala Primera,96-000004-0178-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-358137
2006-09-06,636-2006,Sala Primera,99-000541-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-358162
2006-10-11,765-2006,Sala Primera,99-001138-0163-AG,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-366140
2007-02-02,74-2007,Sala Primera,99-001145-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-370854
2007-02-23,78-2007,"Tribunal Contencioso Administrativo, Sección I",04-000472-0016-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-367430
2007-03-09,3446-2007,Sala Constitucional,07-002222-0007-CO,https://nexuspj.poder-judicial.go.cr/document/sen-1-0007-385026
2007-04-30,214-2007,"Tribunal Contencioso Administrativo, Sección II",02-000259-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-374828
2007-07-03,308-2007,"Tribunal Contencioso Administrativo, Sección II",98-000958-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-378889
2007-07-05,750-2007,Tribunal de Casación Penal de San José,03-001263-0219-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-379808
2007-08-24,612-2007,Sala Primera,00-000432-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-387420
2007-09-27,702-2007,Sala Primera,00-000547-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-389412
2007-10-03,459-2007,"Tribunal Contencioso Administrativo, Sección II",05-001068-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-391162
2007-12-14,1581-2007,Tribunal de Casación Penal de San José,04-609654-0489-TC,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-397250
2008-03-14,65-2008,"Tribunal Contencioso Administrativo, Sección I",01-000775-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-410987
2008-03-25,213-2008,Sala Primera,02-000758-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-401606
2008-03-28,252-2008,Sala Tercera,03-001211-0068-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-410021
2008-05-13,152-2008,"Tribunal Contencioso Administrativo, Sección II",04-001108-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-408659
2008-05-29,614-2008,Sala Tercera,01-000361-0064-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-416264
2008-08-14,218-2008,"Tribunal Contencioso Administrativo, Sección I",04-000975-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-485820
2008-09-26,654-2008,Sala Primera,02-000605-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-427736
2008-10-22,22-2008,"Tribunal Contencioso Administrativo, Sección VII",94-000581-0177-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-427157
2009-02-26,18-2009,"Tribunal Contencioso Administrativo, Sección IX",99-001028-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-443234
2009-02-27,19-2009,"Tribunal Contencioso Administrativo, Sección IX",03-000429-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-442867
2009-03-13,19-2009,"Tribunal Contencioso Administrativo, Sección VIII",04-100229-0389-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-442859
2009-03-30,44-2009,"Tribunal Contencioso Administrativo, Sección VII",02-000968-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-443054
2009-08-26,386-2009,"Tribunal Contencioso Administrativo, Sección I",06-000317-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-448508
2009-09-11,1132-2009,Sala Tercera,06-000159-0629-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-454335
2009-09-25,66-2009,"Tribunal Contencioso Administrativo, Sección VIII",02-000938-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-459835
2009-10-01,98-2009,"Tribunal Contencioso Administrativo, Sección VII",04-000261-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-451905
2009-10-05,2164-2009,"Tribunal Contencioso Administrativo, Sección VI",09-000002-0181-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-451266
2009-10-27,114-2009,"Tribunal Contencioso Administrativo, Sección X",97-000305-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-452438
2009-11-30,103-2009,"Tribunal Contencioso Administrativo, Sección IX",01-000018-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-461323
2009-12-17,137-2009,"Tribunal Contencioso Administrativo, Sección X",01-001513-0182-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-460116
2009-12-18,115-2009,"Tribunal Contencioso Administrativo, Sección IX",02-000566-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-460082
2010-01-06,53-2010,Sala Primera,03-000659-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-461533
2010-01-18,121-2010,"Tribunal Contencioso Administrativo, Sección VI",08-001177-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-460890
2010-01-29,53-2010,"Tribunal Contencioso Administrativo, Sección II",03-000371-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-461738
2010-03-04,825-2010,"Tribunal Contencioso Administrativo, Sección VI",04-000292-0673-FA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-462480
2010-03-16,993-2010,"Tribunal Contencioso Administrativo, Sección VI",09-001615-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-465450
2010-03-22,1117-2010,"Tribunal Contencioso Administrativo, Sección VI",09-001455-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-466939
2010-05-04,1666-2010,"Tribunal Contencioso Administrativo, Sección VI",09-000835-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-476042
2010-05-25,1965-2010,"Tribunal Contencioso Administrativo, Sección VI",09-000642-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-476064
2010-05-27,2011-2010,"Tribunal Contencioso Administrativo, Sección VI",08-001496-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-476066
2010-06-09,687-2010,Sala Primera,08-000101-0161-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-484601
2010-06-11,2244-2010,"Tribunal Contencioso Administrativo, Sección VI",10-000432-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-478817
2010-06-30,2460-2010,"Tribunal Contencioso Administrativo, Sección VI",09-003145-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-479296
2010-06-30,2506-2010,"Tribunal Contencioso Administrativo, Sección VI",08-000322-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-479297
2010-07-07,2567-2010,"Tribunal Contencioso Administrativo, Sección VI",09-002447-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-482588
2010-07-29,2773-2010,"Tribunal Contencioso Administrativo, Sección VI",09-002638-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-484540
2010-07-30,75-2010,"Tribunal Contencioso Administrativo, Sección IX",94-000699-0177-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-484578
2010-08-30,69-2010,"Tribunal Contencioso Administrativo, Sección VIII",07-001140-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-488880
2010-09-30,81-2010,"Tribunal Contencioso Administrativo, Sección VIII",03-000429-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-491747
2010-11-25,4405-2010,"Tribunal Contencioso Administrativo, Sección VI",10-002482-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-492674
2010-12-16,1517-2010,Sala Primera,08-001540-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-511553
2010-12-20,4705-2010,"Tribunal Contencioso Administrativo, Sección VI",09-001600-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-502583
2010-12-22,4748-2010,"Tribunal Contencioso Administrativo, Sección VI",10-000938-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-502610
2011-01-19,19-2011,Sala Primera,08-001548-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-503340
2011-03-29,26-2011,"Tribunal Contencioso Administrativo, Sección II",02-001084-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-512712
2011-04-28,40-2011,"Tribunal Contencioso Administrativo, Sección II",07-000010-0638-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-512866
2011-05-09,112-2011,Tribunal Contencioso Administrativo,08-000959-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-513640
2011-05-31,53-2011,"Tribunal Contencioso Administrativo, Sección II",03-000102-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-515291
2011-06-13,136-2011,"Tribunal Contencioso Administrativo, Sección VI",10-001654-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-515400
2011-07-07,873-2011,Tribunal de Casación Penal de San José,09-002893-0275-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-518455
2011-08-19,178-2011,"Tribunal Contencioso Administrativo, Sección VI",10-000951-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-521448
2011-09-08,1084-2011,Sala Primera,09-002761-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-526415
2011-09-08,1102-2011,Sala Primera,08-001297-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-526258
2011-10-28,228-2011,"Tribunal Contencioso Administrativo, Sección VI",10-001539-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-526683
2011-11-03,1329-2011,Sala Tercera,01-290759-0331-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-538483
2011-11-23,1590-2011,Tribunal de Apelación de Sentencia Penal del II Circuito Judicial de San José,03-200784-0485-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-532522
2011-12-12,118-2011,"Tribunal Contencioso Administrativo, Sección VII",06-000360-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-532433
2012-01-11,1-2012,"Tribunal Contencioso Administrativo, Sección VII",06-001016-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-535848
2012-02-17,27-2012,"Tribunal Contencioso Administrativo, Sección VI",09-002158-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-535838
2012-02-21,16-2012,"Tribunal Contencioso Administrativo, Sección II",94-000524-0177-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-537948
2012-03-22,53-2012,"Tribunal Contencioso Administrativo, Sección VI",10-002088-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-538205
2012-03-30,52-2012,"Tribunal Contencioso Administrativo, Sección II",02-000760-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-538197
2012-04-17,121-2012,Tribunal de Apelación de Sentencia Penal de Guanacaste,09-002074-0396-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-538607
2012-04-18,713-2012,Tribunal de Apelación de Sentencia Penal del II Circuito Judicial de San José,05-009141-0647-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-540195
2012-04-19,489-2012,Sala Primera,01-000018-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-541735
2012-04-27,73-2012,"Tribunal Contencioso Administrativo, Sección II",04-000141-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-539395
2012-05-09,78-2012,"Tribunal Contencioso Administrativo, Sección VI",11-002656-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-540478
2012-05-15,80-2012,"Tribunal Contencioso Administrativo, Sección VI",09-002362-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-540480
2012-05-18,50-2012,"Tribunal Contencioso Administrativo, Sección IV",10-001480-1028-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-564936
2012-05-23,626-2012,Sala Primera,09-000120-0183-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-545915
2012-05-31,663-2012,Sala Primera,02-000760-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-542710
2012-06-11,49-2012,"Tribunal Contencioso Administrativo, Sección V",10-003794-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-544345
2012-06-12,52-2012,"Tribunal Contencioso Administrativo, Sección V",08-100952-0857-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-544532
2012-06-19,118-2012,"Tribunal Contencioso Administrativo, Sección VI",10-002761-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-542982
2012-06-25,121-2012,"Tribunal Contencioso Administrativo, Sección VI",11-004344-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-543011
2012-07-18,81-2012,"Tribunal Contencioso Administrativo, Sección VII",03-000143-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-550677
2012-07-26,896-2012,Sala Primera,09-000167-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-567756
2012-08-10,168-2012,Tribunal Contencioso Administrativo,07-001523-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-544352
2012-08-22,77-2012,"Tribunal Contencioso Administrativo, Sección V",11-005916-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-549777
2012-08-31,184-2012,"Tribunal Contencioso Administrativo, Sección II",07-001658-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-546906
2012-09-10,181-2012,"Tribunal Contencioso Administrativo, Sección VI",05-000246-0184-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-550310
2012-09-14,86-2012,"Tribunal Contencioso Administrativo, Sección V",11-002524-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-551933
2012-09-20,87-2012,"Tribunal Contencioso Administrativo, Sección V",11-004852-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-551934
2012-09-28,210-2012,"Tribunal Contencioso Administrativo, Sección II",07-001194-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-549544
2012-09-28,100-2012,"Tribunal Contencioso Administrativo, Sección IV",11-004110-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-549729
2012-10-08,93-2012,"Tribunal Contencioso Administrativo, Sección V",11-003984-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-551941
2012-10-11,2020-2012,Tribunal de Apelación de Sentencia Penal del II Circuito Judicial de San José,09-002501-0275-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-553042
2012-10-12,96-2012,"Tribunal Contencioso Administrativo, Sección V",10-000285-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-551944
2012-10-18,1367-2012,Sala Primera,08-000268-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-585251
2012-10-24,138-2012,"Tribunal Contencioso Administrativo, Sección VII",05-001180-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-553558
