fecha,resolucion,despacho,expediente,enlace
2009-07-28,783-2009,Sala Primera,93-000655-0178-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-447118
2010-01-29,13-2010,"Tribunal Contencioso Administrativo, Sección VIII",02-000495-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-464112
2010-06-11,59-2010,"Tribunal Contencioso Administrativo, Sección IX",06-000025-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-478381
2010-06-22,54-2010,"Tribunal Contencioso Administrativo, Sección VIII",06-000513-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-479954
2010-06-30,2460-2010,"Tribunal Contencioso Administrativo, Sección VI",09-003145-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-479296
2010-07-29,2773-2010,"Tribunal Contencioso Administrativo, Sección VI",09-002638-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-484540
2010-08-10,2957-2010,"Tribunal Contencioso Administrativo, Sección VI",09-002709-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-484543
2010-12-20,4705-2010,"Tribunal Contencioso Administrativo, Sección VI",09-001600-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-502583
2011-01-31,27-2011,"Tribunal Contencioso Administrativo, Sección VI",09-002244-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-505079
2011-04-26,28-2011,"Tribunal Contencioso Administrativo, Sección VII",06-001190-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-510538
2011-05-25,115-2011,"Tribunal Contencioso Administrativo, Sección V",08-001127-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-513779
2011-06-08,10-2011,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,10-002495-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-550685
2011-06-13,136-2011,"Tribunal Contencioso Administrativo, Sección VI",10-001654-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-515400
2011-10-25,1350-2011,Sala Primera,04-000059-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-528168
2011-10-28,228-2011,"Tribunal Contencioso Administrativo, Sección VI",10-001539-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-526683
2011-11-24,26-2011,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,09-003153-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-550689
2011-11-24,27-2011,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,10-001649-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-532545
2011-12-02,263-2011,"Tribunal Contencioso Administrativo, Sección VI",99-002155-0042-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-529704
2012-02-02,112-2012,Sala Primera,08-000322-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-535059
2012-02-15,16-2012,"Tribunal Contencioso Administrativo, Sección IV",04-203280-0305-PE,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-534640
2012-02-16,7-2012,Tribunal de Casación Contencioso Administrativo y Civil de Hacienda,09-002549-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-539119
2012-02-17,27-2012,"Tribunal Contencioso Administrativo, Sección VI",09-002158-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-535838
2012-03-07,321-2012,Sala Primera,11-000285-1028-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-536385
2012-03-07,325-2012,Sala Primera,06-000025-0163-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-553617
2012-03-22,53-2012,"Tribunal Contencioso Administrativo, Sección VI",10-002088-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-538205
2012-03-29,31-2012,"Tribunal Contencioso Administrativo, Sección VII",98-100605-0291-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-539383
2012-06-02,130-2012,"Tribunal Contencioso Administrativo, Sección VI",10-000002-0009-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-543082
2012-06-19,118-2012,"Tribunal Contencioso Administrativo, Sección VI",10-002761-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-542982
2012-07-24,147-2012,"Tribunal Contencioso Administrativo, Sección VI",11-003949-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-546334
2012-08-08,157-2012,"Tribunal Contencioso Administrativo, Sección VI",10-002980-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-546120
2012-08-23,166-2012,"Tribunal Contencioso Administrativo, Sección VI",12-000726-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-547458
2012-09-10,181-2012,"Tribunal Contencioso Administrativo, Sección VI",05-000246-0184-CI,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-550310
2012-09-17,1163-2012,Sala Primera,10-001458-1028-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-549888
